@relation RSSI_Y_predicted

@attribute r1 numeric
@attribute r2 numeric
@attribute r3 numeric
@attribute r4 numeric
@attribute predictedy numeric
@attribute y numeric

@data
38,21,38,27,5852.020965,6000
34,26,44,42,6185.190148,6300
32,31,41,53,6608.625888,6420
31,20,34,39,6253.745786,6300
35,16,40,38,5998.302951,6580
37,11,36,37,5968.70169,5790
32,34,33,56,6857.462727,6780
33,24,40,41,6220.028738,6000
28,35,32,40,7012.787687,6940
39,24,35,41,6147.669046,6000
30,25,31,43,6534.503103,6940
42,18,42,34,5800.166877,5740
45,17,32,26,5781.116117,5740
38,24,38,35,5976.135664,6000
35,26,40,49,6403.707472,6780
35,19,43,34,5876.145694,5930
33,29,33,47,6630.018202,6780
32,18,38,41,6209.337022,6580
42,13,36,36,5856.617315,5790
24,17,43,41,6305.810977,6190
32,27,38,41,6380.357951,6420
31,26,42,44,6361.732427,6100
31,36,35,47,7000.761293,6940
43,17,44,30,5760.251348,5740
38,26,44,39,6000.328719,6190
37,26,43,39,6040.870593,6300
40,26,41,36,5958.835389,6000
27,27,33,49,6639.748709,7320
35,26,45,42,6137.221906,6300
34,21,41,35,5957.392629,5930
35,27,34,48,6499.496159,6300
29,26,24,51,6673.237465,6420
43,20,43,34,5797.835289,5790
29,21,44,30,5921.402052,5930
29,11,32,35,6141.640599,5840
32,24,31,33,6238.20678,6190
38,17,44,35,5835.011771,6190
38,28,44,32,6001.96659,6100
35,34,31,48,6894.749899,6580
41,12,42,22,5740.253174,5790
41,22,38,38,5938.281097,5840
31,8,40,44,6280.028417,6940
41,15,40,34,5810.432796,5740
39,21,47,27,5790.518599,5840
31,27,44,6,6341.959856,6300
41,19,26,21,5891.018854,5700
25,25,36,41,6535.588994,6300
33,26,36,39,6308.509187,6300
41,22,36,38,5965.270737,5790
31,25,37,43,6404.848975,6940
42,15,33,30,5797.65504,5740
24,38,27,37,7160.693476,7320
33,25,25,33,6413.709712,7320
32,23,36,41,6302.147877,6000
32,21,45,41,6119.923199,6100
45,12,42,35,5777.393178,5930
24,38,32,49,7200.283671,7320
28,24,40,47,6452.597587,6420
31,24,43,33,6013.213219,6190
28,29,20,41,6990.109714,7320
29,23,40,29,6023.84694,5840
31,33,32,41,6870.387186,7320
30,14,32,35,6127.302772,5930
31,25,37,46,6452.198245,6940
31,36,31,42,7024.219975,6940
49,16,38,28,5748.747071,5700
30,29,39,50,6591.330474,6780
40,10,30,38,6014.204714,5840
44,18,27,30,5842.665306,5700
48,16,40,21,5747.626902,5700
36,33,33,49,6776.292476,6780
31,25,30,48,6553.400052,6420
37,27,43,45,6230.518493,6100
47,16,43,29,5746.052785,5740
41,21,32,33,5910.377337,5930
34,16,37,47,6335.483291,6580
28,34,39,43,6868.550581,6580
23,26,36,38,6601.007954,7110
31,18,35,41,6274.308393,6100
44,14,40,22,5744.334163,5700
23,40,32,36,7112.836229,7320
34,17,38,36,5989.69459,6000
31,26,39,42,6375.081359,6420
29,28,33,49,6654.347575,7110
