@relation RSSI_X_predicted

@attribute r1 numeric
@attribute r2 numeric
@attribute r3 numeric
@attribute r4 numeric
@attribute predictedx numeric
@attribute x numeric

@data
34,26,44,42,35420.708588,38341
32,31,41,53,47902.145624,42316
31,20,34,39,36082.188736,38341
35,16,40,38,26164.005381,46329
37,11,36,37,23269.553428,14452
32,34,33,56,50193.328242,50317
33,24,40,41,35787.857914,26403
28,35,32,40,54049.024274,54279
39,24,35,41,31798.708232,26403
30,25,31,43,43814.594152,54279
42,18,42,34,16730.09996,10477
45,17,32,26,13860.777232,10477
38,24,38,35,25212.063078,26403
35,26,40,49,42338.671893,50317
35,19,43,34,21882.593502,22364
33,29,33,47,45777.986226,50317
32,18,38,41,34731.752843,46329
42,13,36,36,18495.932234,14452
24,17,43,41,39422.322174,34353
32,27,38,41,39821.165611,42316
31,26,42,44,40996.914039,30378
31,36,35,47,53027.69507,54279
43,17,44,30,14000.934245,10477
38,26,44,39,28041.66214,34353
37,26,43,39,29524.621714,38341
40,26,41,36,24747.373299,26403
27,27,33,49,47853.234544,62306
35,26,45,42,33897.863494,38341
34,21,41,35,25748.153526,22364
35,27,34,48,43796.709701,38341
29,26,24,51,47983.949334,42316
43,20,43,34,16797.152105,14452
29,21,44,30,24965.227469,22364
29,11,32,35,30791.869796,18440
32,24,31,33,32553.883466,34353
38,17,44,35,19073.227852,34353
38,28,44,32,25978.99746,30378
35,34,31,48,49122.298513,46329
41,12,42,22,12003.114758,14452
41,22,38,38,23866.56069,18440
31,8,40,44,35469.228891,54279
41,15,40,34,16835.989629,10477
39,21,47,27,17140.858909,18440
31,27,44,6,37467.388703,38341
41,19,26,21,16302.42077,6489
25,25,36,41,44705.874432,38341
33,26,36,39,36967.665096,38341
41,22,36,38,24716.858751,14452
31,25,37,43,41304.020554,54279
42,15,33,30,15571.881804,10477
24,38,27,37,62567.747052,62306
33,25,25,33,35018.050695,62306
32,23,36,41,37889.452425,26403
32,21,45,41,32774.364939,30378
45,12,42,35,14149.572721,22364
24,38,32,49,57860.863471,62306
28,24,40,47,44548.373653,42316
31,24,43,33,28570.731046,34353
28,29,20,41,48789.349232,62306
29,23,40,29,27627.226095,18440
31,33,32,41,48969.414393,62306
30,14,32,35,30770.697331,22364
31,25,37,46,43398.532848,54279
31,36,31,42,53564.600348,54279
49,16,38,28,12290.938813,6489
30,29,39,50,47224.273756,50317
40,10,30,38,24177.559088,18440
44,18,27,30,16951.003741,6489
48,16,40,21,12692.634624,6489
36,33,33,49,47590.139629,50317
31,25,30,48,45844.634518,42316
37,27,43,45,36539.622688,30378
47,16,43,29,12496.244039,10477
41,21,32,33,21067.476608,22364
34,16,37,47,39253.643161,46329
28,34,39,43,51706.490453,46329
23,26,36,38,45396.885717,58293
31,18,35,41,37007.484967,30378
44,14,40,22,12273.57602,6489
23,40,32,36,65921.409469,62306
34,17,38,36,26111.509512,26403
31,26,39,42,40445.260176,42316
29,28,33,49,47641.476817,58293
